id,bengali-id,footnote-text,page,chapter
36,৩৬,"হাফেয ইবন হাজার এটাকে তার ফতহুল বারীতে উল্লেখ করেছেন এবং ইবন আবী আসেমের 'কিতাবুদ দো'আ' এর দিকে সম্পর্কিত করেছেন। দেখুন ফাতহুল বারী, ১১/১১৮। আরও বলেছেন, বিভিন্ন বর্ণনা থেকে মোট ২৫ (পঁচিশটি) বিষয় পাওয়া গেল।",46,১২: মসজিদে যাওয়ার সময়ে পড়ার দো'আ
37,৩৭,"কারণ, আনাস ইবন মালিক রাদিয়াল্লাহু আনহু বলেন, “সুন্নাত হচ্ছে, যখন তুমি মসজিদে প্রবেশ করবে, তখন তোমার ডান পা দিয়ে ঢুকবে, আর যখন বের হবে, তখন বাম পা দিয়ে বের হবে”। হাদীসটি উদ্ধৃত করেছেন, হাকিম ১/২১৮; এবং একে মুসলিমের শর্ত অনুযায়ী সহীহ বলেছেন, আর ইমাম যাহাবী সেটার সমর্থন করেছেন। আরও উদ্ধৃত করেছেন বাইহাকী, ২/৪৪২; আর শাইখ আলবানী তার সিলসিলাতুল আহাদীসিস সহীহা গ্রন্থে এটাকে হাসান বলেছেন, ৫/৬২৪; নং ২৪৭৮।",46,১৩: মসজিদে প্রবেশের দো'আ
38,৩৮,"আবূ দাউদ, নং ৪৬৬; আরও দেখুন, সহীহুল জামে' ৪৫৯১।",47,১৩: মসজিদে প্রবেশের দো'আ
39,৩৯,"ইবনুস সুন্নি কর্তৃক উদ্ধৃত, নং ৮। আর শাইখ আলবানী তার আস-সামারুল মুস্তাতাব গ্রন্থে একে হাসান বলেছেন, পৃ. ৬০৭।",48,১৩: মসজিদে প্রবেশের দো'আ
40,৪০,"আবু দাউদ ১/১২৬; নং ৪৬৫; আরও দেখুন, সহীহুল জামে' ১/৫২৮।",48,১৩: মসজিদে প্রবেশের দো'আ
41,৪১,"মুসলিম ১/৪৯৪, নং ৭১৩; আর সুনান ইবন মাজায় ফাতিমা রাদিয়াল্লাহু আনহার হাদীসে এসেছে, اللهم اغفر لي ذنوبي وافتح لي أبواب رحمتك “হে আল্লাহ, আমার গুনাহ ক্ষমা করে দিন এবং আমার জন্য আপনার রহমতের দ্বারসমূহ অবারিত করে দিন”। আর শাইখ আলবানী অন্যান্য শাহেদ বা সম অর্থের বর্ণনার কারণে একে সহীহ বলেছেন। দেখুন, সহীহ ইবন মাজাহ্ ১/১২৮-১২৯।",48,১৩: মসজিদে প্রবেশের দো'আ
42,৪২,"আল-হাকিম, ১/২১৮; বাইহাকী, ২/৪৪২, আর শাইখ আলবানী তার সিলসিলাতুস সহীহায় একে হাসান হাদীস বলেছেন, ৫/৬২৪, নং ২৪৭৮। আর সেটার তাখরীজ পূর্বে গত হয়েছে।",49,১৪: মসজিদ থেকে বের হওয়ার দো'আ
43,৪৩,"মসজিদে প্রবেশের দো'আয় পূর্বে বর্ণিত হাদীসের রেওয়ায়েতসমূহের তাখরীজ দেখুন, (২০ নং) আর “হে আল্লাহ, আমাকে বিতাড়িত শয়তান থেকে হিফাযত করুন"" এ বাড়তি অংশের তাখরীজ দেখুন, ইবন মাজাহ ১/১২৯।",49,১৪: মসজিদ থেকে বের হওয়ার দো'আ
44,৪৪,"বুখারী, ১/১৫২, নং ৬১১, ৬১৩; মুসলিম, ১/২৮৮, নং ৩৮৩।",50,১৫: আযানের যিকিরসমূহ
45,৪৫,"মুসলিম ১/২৯০, নং ৩৮৬।",51,১৫: আযানের যিকিরসমূহ
46,৪৬,"ইবন খুযাইমা, ১/২২০।",52,১৫: আযানের যিকিরসমূহ
47,৪৭,"মুসলিম ১/২৮৮, নং ৩৮৪।",52,১৫: আযানের যিকিরসমূহ
48,৪৮,"বুখারী ১/২৫২, নং ৬১৪; আর দুই ব্রাকেটের মাঝখানের অংশ উদ্ধৃত করেছেন, বায়হাকী ১/৪১০। আর আল্লামা আবদুল আযীয ইবন বায রাহেমাহুল্লাহ তার 'তুহফাতুল আখইয়ার' গ্রন্থে এটার সনদকে হাসান বলেছেন, পৃ. ৩৮।",53,১৫: আযানের যিকিরসমূহ
49,৪৯,"তিরমিযী, নং ৩৫৯৪; আবু দাউদ, নং ৫২৫; আহমাদ, নং ১২২০০; আরও দেখুন, ইরওয়াউল গালীল, ১/২৬২।",54,১৫: আযানের যিকিরসমূহ
50,৫০,"বুখারী ১/১৮১, নং ৭৪৪; মুসলিম ১/৪১৯, নং ৫৯৮।",55,১৬: সালাতের শুরুতে দো'আ
51,৫১,"মুসলিম, নং ৩৯৯; আর সুনান গ্রন্থকার চারজন। আবু দাউদ, নং ৭৭৫; তিরমিযী, নং ২৪৩; ইবন মাজাহ, নং ৮০৬; নাসাঈ, নং ৮৯৯। আরও দেখুন, সহীহুত তিরমিযী, ১/৭৭; সহীহ ইবন মাজাহ্ ১/১৩৫।",56,১৬: সালাতের শুরুতে দো'আ
52,৫২,"মুসলিম ১/৫৩৪, নং ৭৭১।",60,১৬: সালাতের শুরুতে দো'আ
53,৫৩,"মুসলিম ১/৫৩৪, নং ৭৭০।",61,১৬: সালাতের শুরুতে দো'আ
54,৫৪,"আবূ দাউদ ১/২০৩, নং ৭৬৪; ইবন মাজাহ ১/২৬৫, ৮০৭; আহমাদ, আহমাদ ৪/৮৫, নং ১৬৭৩৯। শাইখ শু'আইব আল-আরনাউত তার মুসনাদের তাহকীকে এ হাদীসের সনদকে হাসান লি-গাইরিহি বলেছেন। আর আব্দুল কাদের আরনাউত ইবন তাইমিয়‍্যার 'আল-কালেমুত তাইয়্যেব' গ্রন্থের নং ৭৮, এর তাহকীক বলেন, এটি তার শাওয়াহেদ বা সমার্থবোধক হাদীসের দ্বারা সহীহ লি-গাইরিহী প্রমাণিত হয়। আর আলবানী তার সহীহুল কালেমিত তাইয়্যেব এর ৬২ নং এ হাদিসটি উল্লেখ করেছেন। তাছাড়া ইমাম মুসলিম ইবন উমর থেকে অনুরূপ হাদীস উদ্ধৃত করেছেন, তবে সেখানে একটি ঘটনা বর্ণিত হয়েছে। ১/৪২০, নং ৬০১।",63,১৬: সালাতের শুরুতে দো'আ
55,৫৫,রাসূলুল্লাহ সাল্লাল্লাহু আলাইহি ওয়াসাল্লাম এ দো'আটি রাতে উঠে তাহাজ্জুদের সালাত পড়ার সময় বলতেন।,65,১৬: সালাতের শুরুতে দো'আ
56,৫৬,"বুখারী, (ফাতহুল বারীসহ) ৩/৩, ১১/১১৬, ১৩/৩৭১, ৪২৩, ৪৬৫, নং ১১২০, ৬৩১৭, ৭৩৮৫, ৭৪৪২, ৭৪৯৯; ও মুসলিম সংক্ষিপ্তাকারে ১/৫৩২, নং ৭৬৯।",67,১৬: সালাতের শুরুতে দো'আ
57,৫৭,"সুনানের গ্রন্থাকারগণ ও আহমাদ হাদীসটি উদ্ধৃত করেছেন। আবূ দাউদ, নং ৮৭০; তিরমিযী, নং ২৬২; নাসাঈ, নং ১০০৭; ইবন মাজাহ, নং ৮৯৭; আহমাদ, নং ৩৫১৪। আরও দেখুন, সহীহুত তিরমিযী, ১/৮৩।",67,১৭: রুকু'র দো'আ
58,৫৮,"বুখারী ১/৯৯, নং ৭৯৪; মুসলিম ১/৩৫০, নং ৪৮৪।",68,১৭: রুকু'র দো'আ
59,৫৯,"মুসলিম ১/৩৫৩, নং ৪৭৪; আবু দাউদ ১/২৩০, নং ৮৭২।",68,১৭: রুকু'র দো'আ
60,৬০,"মুসলিম ১/৫৩৪, নং ৭৭১; তাছাড়া চার সুনান গ্রন্থকারগণের মধ্যে ইবন মাজাহ ব্যতীত সবাই তা উদ্ধৃত করেছেন। আবূ দাউদ, নং ৭৬০, ৭৬১; তিরমিযী, নং ৩৪২১; নাসাঈ, নং ১০৪৯; তবে দুই ব্রাকেটের অংশ ইবন খুযাইমার শব্দ, নং ৬০৭; ইবন হিব্বান, নং ১৯০১।",69,১৭: রুকু'র দো'আ
61,৬১,"আবু দাউদ ১/২৩০, নং ৮৭৩; নাসাঈ, নং ১১৩১; আহমাদ, নং ১৩৯৮০। আর তার সনদ হাসান।",70,১৭: রুকু'র দো'আ
62,৬২,"বুখারী, (ফাতহুল বারীসহ) ২/২৮২, নং ৭৯৬।",71,১৮: রুকু থেকে উঠার দো'আ
63,৬৩,"বুখারী, (ফাতহুল বারীসহ) ২/২৮৪, নং ৭৯৬।",71,১৮: রুকু থেকে উঠার দো'আ
64,৬৪,"মুসলিম, ১/৩৪৬; নং ৪৭৭।",73,১৮: রুকু থেকে উঠার দো'আ
65,৬৫,"হাদীসটি সুনানগ্রন্থকারগণ ও ইমাম আহমাদ সংকলন করেছেন। আবূ দাউদ, হাদীস নং ৮৭০; তিরমিযী, হাদীস নং ২৬২; নাসাঈ, হাদীস নং ১০০৭; ইবন মাজাহ, হাদীস নং ৮৯৭; আহমাদ, হাদীস নং ৩৫১৪। আরও দেখুন, সহীহুত তিরমিযী, ১/৮৩।",73,১৯: সাজদার দো'আ
66,৬৬,"বুখারী, নং ৭৯৪; মুসলিম, নং ৪৮৪; পূর্বে ৩৪ নং তা গত হয়েছে।",74,১৯: সাজদার দো'আ
67,৬৭,"মুসলিম ১/৩৫৩, নং ৪৮৭; আবু দাউদ, নং ৮৭২। পূর্বে ৩৫ নং এ গত হয়েছে।",74,১৯: সাজদার দো'আ
68,৬৮,"মুসলিম ১/৫৩৪, নং ৭৭১ ও অন্যান্যগণ।",75,১৯: সাজদার দো'আ
69,৬৯,"আবু দাউদ ১/২৩০, নং ৮৭৩; নাসাঈ, নং ১১৩১; আহমাদ, নং ২৩৯৮০। আর শাইখ আলবানী একে সহীহ আবু দাউদে ১/১৬৬ সহীহ বলেছেন। যার তাখরীজ ৩৭ নং এ চলে গেছে।",76,১৯: সাজদার দো'আ
70,৭০,"মুসলিম ১/২৩০, নং ৪৮৩।",76,১৯: সাজদার দো'আ
71,৭১,"মুসলিম ১/৩৫২, নং ৪৮৬।",77,১৯: সাজদার দো'আ
72,৭২,"আবূ দাউদ ১/২৩১, নং ৮৭৪; ইবন মাজাহ নং ৮৯৭। আরও দেখুন, সহীহ ইবন মাজাহ, ১/১৪৮।",78,২০: দুই সাজদার মধ্যবর্তী বৈঠকের দো'আ
73,৭৩,"হাদীসটি নাসাঈ ব্যতীত সুনান গ্রন্থগারগণ সবাই সংকলন করেছেন। আবূ দাউদ, ১/২৩১, নং ৮৫০; তিরমিযী, নং ২৮৪, ২৮৫; ইবন মাজাহ, নং ৮৯৮। আরও দেখুন, সহীহুত তিরমিযী, ১/৯০; সহীহ ইবন মাজাহ ১/১৪৮।",79,২০: দুই সাজদার মধ্যবর্তী বৈঠকের দো'আ
74,৭৪,"তিরমিযী, ২/৪৭৪, নং ৩৪২৫; আহমাদ ৬/৩০; নং ২৪০২২; হাকিম ও সহীহ বলেছেন এবং যাহাবী সেটা সমর্থন করেছেন, ১/২২০; আর বাড়তি অংশটুকু তাঁরই। আয়াতটুকু সূরা আল-মুমিনূন এর ১৪ নং আয়াত।",80,২১: সাজদার আয়াত তিলাওয়াতের পর সাজদায় দো'আ
75,৭৫,"তিরমিযী ২/৪৭৩, নং ৫৭৯; হাকেম ও সহীহ বলেছেন, আর ইমাম যাহাবী সমর্থন করেছেন, ১/২১৯।",81,২১: সাজদার আয়াত তিলাওয়াতের পর সাজদায় দো'আ
76,৭৬,"বুখারী, (ফাতহুল বারীসহ) ১১/১৩, নং ৮৩১; মুসলিম ১/৩০১, নং ৪০২।",82,২২: তাশাহুদ
77,৭৭,"বুখারী, (ফাতহুল বারীসহ) ৬/৪০৮, নং ৩৩৭০; মুসলিম, নং ৪০৬।",84,২৩: তাশাহ্হুদের পর নবী সাল্লাল্লাহু আলাইহি ওয়াসাল্লামের ওপর সালাত (দুরূদ) পাঠ
78,৭৮,"বুখারী, (ফাতহুল বারীসহ) ৬/৪০৭, নং ৩৩৬৯; মুসলিম ১/৩০৬, নং ৪০৭। আর শব্দটি মুসলিমের।",85,২৩: তাশাহ্হুদের পর নবী সাল্লাল্লাহু আলাইহি ওয়াসাল্লামের ওপর সালাত (দুরূদ) পাঠ
79,৭৯,"বুখারী ২/১০২, নং ১৩৭৭; মুসলিম ১/৪১২, নং ৫৮৮। আর শব্দ মুসলিমের।",86,২৪: সালামের আগে শেষ তাশাহহুদের পরের দো'আ
80,৮০,"বুখারী ১/২০২, নং ৮৩২; মুসলিম ১/৪১২, নং ৫৮৭।",87,২৪: সালামের আগে শেষ তাশাহহুদের পরের দো'আ
81,৮১,"বুখারী ৮/১৬৮, নং ৮৩৪; মুসলিম ৪/২০৭৮, নং ২৭০৫।",88,২৪: সালামের আগে শেষ তাশাহহুদের পরের দো'আ
82,৮২,"মুসলিম ১/৫৩৪, নং ৭৭১।",89,২৪: সালামের আগে শেষ তাশাহহুদের পরের দো'আ
83,৮৩,"আবূ দাউদ ২/৮৬, নং ১৫২২; নাসাঈ ৩/৫৩, নং ২৩০২। আর শাইখ আলবানী সহীহ আবি দাউদ ১/২৮৪ এটাকে সহীহ বলেছেন।",89,২৪: সালামের আগে শেষ তাশাহহুদের পরের দো'আ
84,৮৪,"বুখারি, (ফাতহুল বারীসহ) ৬/৩৫, নং ২৮২২ ও নং ৬৩৯০।",90,২৪: সালামের আগে শেষ তাশাহহুদের পরের দো'আ
85,৮৫,"আবূ দাউদ, নং ৭৯২; ইবন মাজাহ নং ৯১০। আরও দেখুন, সহীহ ইবন মাজাহ, ২/৩২৮।",91,২৪: সালামের আগে শেষ তাশাহহুদের পরের দো'আ
86,৮৬,"নাসাঈ ৩/৫৪, ৫৫, নং ১৩০৪; আহমাদ ৪/৩৬৪, নং ২১৬৬৬। আর শাইখ আলবানী সহীহুন নাসাঈ ১/২৮১ তে একে সহীহ বলেছেন।",94,২৪: সালামের আগে শেষ তাশাহহুদের পরের দো'আ
87,৮৭,"নাসাঈ ৩/৫২, নং ১৩০০; শব্দ তাঁরই, আহমাদ ৪/৩৩৮, নং ১৮৯৭। আর আলবানী সহীহুন নাসাঈ ১/২৮০ তে একে সহীহ বলেছেন।",95,২৪: সালামের আগে শেষ তাশাহহুদের পরের দো'আ
88,৮৮,"হাদীসটি সুনানগ্রন্থকারগণ সকলে সংকলন করেছেন। আবূ দাউদ, নং ১৪৯৫; তিরমিযী, নং ৩৫৪৪; ইবন মাজাহ, নং ৩৮৫৮; নাসাঈ, নং ১২৯৯। আরও দেখুন, সহীহ ইবন মাজাহ, ২/৩২৯।",96,২৪: সালামের আগে শেষ তাশাহহুদের পরের দো'আ
89,৮৯,"আবু দাউদ ২/৬২, নং ১৪৯৩; তিরমিযী ৫/৫১৫, নং ৩৪৭৫; ইবন মাজাহ, ২/১২৬৭, নং ৩৮৫৭; নাসাঈ, নং ১৩০০, আর শব্দ তাঁরই; আহমাদ নং ১৮৯৭৪। আর শাইখ আলবানী সহীহ নাসাঈ ১/২৮০ তে একে সহীহ বলেছেন। তাছাড়া আরও দেখুন, সহীহ ইবন মাজাহ ২/৩২৯; সহীহ আত-তিরমিযী, ৩/১৬৩।",97,২৪: সালামের আগে শেষ তাশাহহুদের পরের দো'আ
90,৯০,"মুসলিম ১/৪১৪, নং ৫৯১।",98,২৫: সালাম ফিরানোর পর যিকিরসমূহ
91,৯১,"বুখারী ১/২২৫, নং ৮৪৪; মুসলিম ১/৪১৪, নং ৫৯৩। আর দু ব্র্যাকেটের মাঝের অংশ বুখারীতে বর্ধিত এসেছে, নং ৬৪৭৩।",100,২৫: সালাম ফিরানোর পর যিকিরসমূহ
92,৯২,"মুসলিম ১/৪১৫, নং ৫৯৪।",101,২৫: সালাম ফিরানোর পর যিকিরসমূহ
93,৯৩,"মুসলিম, ১/৪১৮, নং ৫৯৭; আর তাতে রয়েছে, যে ব্যক্তি প্রতি নামাযের পর সেটা বলবে, তার পাপরাশি ক্ষমা করে দেওয়া হয়, যদিও তা সমুদ্রের ফেনারশির মতো হয়।",102,২৫: সালাম ফিরানোর পর যিকিরসমূহ
94,৯৪,"আবু দাঊদ ২/৮৬, নং ১৫২৩; তিরমিযী, নং ২৯০৩; নাসাঈ ৩/৬৮, নং ১৩৩৫। আরও দেখুন, সহীহুত তিরমিযী, ২/৮। আর উপরিউক্ত তিনটে সূরাকে ‘আল-মু‘আওয়াযাত’ বলা হয়। দেখুন, ফাতহুল বারী, ৯/৬২।",105,২৫: সালাম ফিরানোর পর যিকিরসমূহ
95,৯৫,"হাদীসে এসেছে, “যে ব্যক্তি প্রত্যেক সালাতের পর একে পড়বে, তাকে মৃত্যু ব্যতীত জান্নাতে প্রবেশে আর অন্য কিছু বাধা হয়ে দাঁড়াবে না।” নাসাঈ, আমালুল ইয়াওমি ওয়াল্লাইলাহ, নং ১০০; ইবনুস সুন্নী, নং ১২১। আর শাইখ আলবানী হাদীসটিকে সহীহুল জামে‘ ৫/৩৩৯ তে এবং সিলসিলাতুল আহাদীসিস সহীহা ২/৬৯৭, নং ৯৭২ তে সহীহ বলেছেন। আর আয়াতটি দেখুন, সূরা আল-বাকারাহ-২৫৫।",107,২৫: সালাম ফিরানোর পর যিকিরসমূহ
96,৯৬,"তিরমিযী ৫/৫১৫, নং ৩৪৭৪; আহমাদ ৪/২২৭, নং ১৭৯৯০। হাদীসটির তাখরীজের জন্য আরও দেখুন, যাদুল মা‘আদ ১/৩০০।",108,২৫: সালাম ফিরানোর পর যিকিরসমূহ
97,৯৭,"ইবন মাজাহ, নং ৯২৫; নাসাঈ, তাঁর আমালুল ইয়াওমি ওয়াল্লাইলাহ গ্রন্থে, হাদীস নং ১০২। আরও দেখুন, সহীহ ইবন মাজাহ, ১/১৫২; মাজমাউয যাওয়াইদ, ১০/১১১। তাছাড়া অচিরেই ৯৫ নং হাদীসেও আসবে।",109,২৫: সালাম ফিরানোর পর যিকিরসমূহ
98,৯৮,"বুখারী, ৭/১৬২, নং ১১৬২।",113,২৬: ইসতিখারার সালাতের দো'আ
99,৯৯,সূরা আলে-ইমরান: ১৫৯।,113,২৬: ইসতিখারার সালাতের দো'আ
100,১০০,"আনাস রাদিয়াল্লাহু 'আনহু থেকে বর্ণিত, তিনি হাদীসটিকে রাসূল সাল্লাল্লাহু আলাইহি ওয়াসাল্লাম থেকে মারফু' হিসেবে বর্ণনা করেছেন, “কোনো গোষ্ঠী যারা যিকির করছে, তাদের সাথে ফজরের সালাতের পরে সূর্য উঠা পর্যন্ত সময় বসা আমার কাছে ইসমাঈলের বংশধরদের চার জন্য দাস মুক্তির থেকেও বেশি প্রিয়। অনুরূপভাবে কোনো গোষ্ঠী যারা যিকির করছে, তাদের সাথে আসরের সালাতের পরে সূর্য ডুবা পর্যন্ত সময় বসা আমার কাছে চার জন্য দাস মুক্তির থেকেও বেশি প্রিয়।” আবূ দাউদ, নং ৩৬৬৭। আর শাইখ আলবানী, সহীহ আবি দাউদ ২/৬৯৮ তে হাদীসটিকে হাসান বলেছেন।",114,২৭: সকাল ও বিকালের যিকিরসমূহ
101,১০১,"সূরা আল-বাকারাহ্, ২৫৫। যে ব্যক্তি সকালে তা বলবে সে বিকাল হওয়া পর্যন্ত জিন্ন শয়তান থেকে আল্লাহর আশ্রয়ে থাকবে, আর যে ব্যক্তি বিকালে তা বলবে সে সকাল হওয়া পর্যন্ত জিন শয়তান থেকে আল্লাহর আশ্রয়ে থাকবে। হাদীসটি হাকিম সংকলন করেছেন, ১/৫৬২। আর শাইখ আলবানী একে সহীহুত তারগীব ওয়াত-তারহীবে সহীহ বলেছেন ১/২৭৩। আর তিনি একে নাসাঈ, তাবারানীর দিকে সম্পর্কযুক্ত করেছেন এবং বলেছেন, তাবারানীর সনদ 'জাইয়্যেদ' বা ভালো।",116,২৭: সকাল ও বিকালের যিকিরসমূহ
102,১০২,"হাদীসে এসেছে, রাসূল বললেন, যে ব্যক্তি সকাল ও বিকালে 'কুল হুআল্লাহু আহাদ' (সূরা ইখলাস), 'সূরা ফালাক' ও 'সূরা নাস' তিনবার করে বলবে, এটাই আপনার সবকিছুর জন্য যথেষ্ট হবে। আবূ দাউদ ৪/৩২২, নং ৫০৮২; তিরমিযী ৫/৫৬৭, নং ৩৫৭৫। আরও দেখুন, সহীহুত তিরমিযী, ৩/১৮২।",116,২৭: সকাল ও বিকালের যিকিরসমূহ
103,১০৩,"বিকালে বলবে, أَمْسَيْنَا وَأَمْسَى الْمُلْكُ اللَّهَ (আমসাইনা ওয়া আমসাল মুলকু লিল্লাহ) অর্থাৎ “আমরা আল্লাহর জন্য বিকালে উপনীত হয়েছি, আর সকল রাজত্বও তাঁরই অধীনে বিকালে উপনীত হয়েছে।”",120,২৭: সকাল ও বিকালের যিকিরসমূহ
104,১০৪,"আর যখন বিকাল হবে, তখন বলবে, رَبِّ أَسْأَلُكَ خَيْرَ مَا فِي هَذِهِ اللَّيْلَةِ وَخَيْرَ مَا بَعْدَهَا، وَأَعُوْذُ بِكَ مِنْ شَرِّ مَا فِي هَذِهِ اللَّيْلَةِ، وَشَرِّ مَا بَعْدَهَا.",120,২৭: সকাল ও বিকালের যিকিরসমূহ
105,১০৫,"মুসলিম, ৪/২০৮৮, নং ২৭২৩।",122,২৭: সকাল ও বিকালের যিকিরসমূহ
106,১০৬,আর বিকাল হলে রাসূলুল্লাহ্ সাল্লাল্লাহু আলাইহি ওয়াসাল্লাম বলতেন: اللَّهُمَّ بِكَ أَمْسَيْنَا ، وَبِكَ أَصْبَحْنَا، وَبِكَ نَحْيَا، وَبِكَ نَمُوْتُ، وَإِلَيْكَ الْمَصِيرُ.,122,২৭: সকাল ও বিকালের যিকিরসমূহ
