dua_seq,section_title_bn,page_start,page_end,entry_number_bn,arabic,transliteration_bn,translation_bn,reference_bn,notes,raw_pages,parse_status,review_flag,source_excerpt
26,১৭. রুকুর দো'আ,69,69,৩৬-(৪),اَللَّهُمَّ لَكَ رَكَعْتُ، وَبِكَ آمَنْتُ، وَلَكَ أَسْلَمْتُ خَشَعَ لَكَ سَمْعِي وَبَصَرِي، وَمُخِّي، وَعَظْمِي، وَعَصَبِي، وَمَا اسْتَقَلَّ بِهِ قَدَمِي,"আল্লা-হুম্মা লাকা রাকা'তু, ওয়াবিকা আ-মানতু ওয়া লাকা আসলামতু। খাশা'আ লাকা সাম'ঈ ওয়া বাসারী ওয়া মুখ্খী ওয়া 'আযমী ওয়া 'আসাবী [ওয়ামাস্তাক্বাল্লাত বিহি কাদামী]","“হে আল্লাহ! আমি আপনার জন্যেই রুকু করেছি, আপনার ওপরই ঈমান এনেছি এবং আপনার কাছেই আত্মসমর্পণ করেছি। আমার কান, আমার চোখ, আমার মস্তিষ্ক, আমার হাড়, আমার পেশী, সবই আপনার জন্য বিনয়াবনত। [আর যা আমার পা বহন করে দাঁড়িয়ে আছে (আমার সমগ্র সত্তা) তাও (আপনার জন্য বিনয়াবনত)]।”","মুসযিম ১/৫৩৪, নং ৭৭১; তাছাড়া চার সু নান গ্রেকারর্মণর মমধয ইবন মাোহ বযতীত সবাই তা উিৃ ত কমরমছন। আবূ দাউদ, নং",reference_recovered_from_pdftext,69,ok,,"اَللَّهُمَّ لَكَ رَكَعْتُ، وَبِكَ آمَنْتُ، وَلَكَ أَسْلَمْتُ خَشَعَ لَكَ سَمْعِي وَبَصَرِي، وَمُخِّي، وَعَظْمِي، وَعَصَبِي، وَمَا اسْتَقَلَّ بِهِ قَدَمِي (আল্লা-হুম্মা লাকা রাকা'তু, ওয়াবিকা আ-মানতু ওয়া লাকা"
27,১৭. রুকুর দো'আ,70,70,৩৭-(৫),سُبْحَانَ ذِي الْجَبَرُوتِ، وَالْمَلَكُوتِ، وَالْكِبْرِيَاءِ، وَالْعَظَمَةِ,"সুবহা-না যিল জাবারূতি, ওয়াল মালাকূতি, ওয়াল কিবরিয়া-ই ওয়াল 'আযামাতি","“পবিত্রতা ও মহিমা ঘোষণা করছি সেই সত্তার, যিনি প্রবল প্রতাপ, বিশাল সাম্রাজ্য, বিরাট গৌরব-গরিমা এবং অতুলনীয় মহত্ত্বের অধিকারী।”","আবূ দাউদ ১/২৩০, নং ৮৭৩; নাসাঈ, নং ১১৩১; আহমাদ, নং ১৩৯৮০। আর তার সনদ হাসান।",reference_recovered_from_pdftext,70,ok,,"سُبْحَانَ ذِي الْجَبَرُوتِ، وَالْمَلَكُوتِ، وَالْكِبْرِيَاءِ، وَالْعَظَمَةِ (সুবহা-না যিল জাবারূতি, ওয়াল মালাকূতি, ওয়াল কিবরিয়া-ই ওয়াল 'আযামাতি)।"
28,১৮. রুকু থেকে উঠার দো'আ,70,71,৩৮-(১),سَمِعَ اللَّهُ لِمَنْ حَمِدَهُ,সামি'আল্লা-হু লিমান হামিদাহ,"“যে আল্লাহর হামদ-প্রশংসা করে, আল্লাহ তার প্রশংসা শুনুন (কবুল করুন)।”","বু খারী, (ফাতহুি বারীসহ) ২/২৮২, নং ৭৯৬।","reference_recovered_from_pdftext,continued_from_previous_or_next_page","70,71",ok,,"سَمِعَ اللَّهُ لِمَنْ حَمِدَهُ (সামি'আল্লা-হু লিমান হামিদাহ)। “যে আল্লাহর হামদ-প্রশংসা করে, আল্লাহ তার প্রশংসা শুনুন (কবুল করুন)।”৬২"
29,১৮. রুকু থেকে উঠার দো'আ,71,71,৩৯-(২),رَبَّنَا وَلَكَ الْحَمْدُ، حَمْدًا كَثِيرًا طَيِّبًا مُبَارَكًا فِيهِ,"রব্বানা ওয়া লাকাল হামদু, হামদান কাছীরান ত্বাইয়িবান মুবা-রাকান ফীহি","“হে আমাদের রব্ব! আর আপনার জন্যই সমস্ত প্রশংসা; অঢেল, পবিত্র ও বরকত-রয়েছে-এমন প্রশংসা।”","প্রিংসা।” َّ )« يمل َء3(-43 ْ َُ َ َ ْ ْ َو يمل َء، َو َماب ْيِن َما،ض ات َو يمل َءال ْر يالس َم َو ي َ َ َ َْ ْ َ ه َّ َ َ ُ ْ َ َ ْ َ ْ أ َحق َما قال،د ي ج م الو ءي نا الث أهل.ت يِم ش ٍء بعد َما يشئ َ َ َل َمان َع ل َما أَ ْع َط ْيَ َّ ُ َّ ْ َ ْ ُ َ ُ ه َ َ َ َ ْ ر َوَل،ت ي ي اللهم. وّكنا لك عبد،العبد ُ ْ َ َ َ َ ْ َ َ َ َْ َ ُ َ َن ْ َ َه .»د يمنك اْلد وَل ينفع ذا اْل ي،مع يِط ليما منعت বু খারী, (ফাতহুি বারীসহ) ২/২৮৪, নং ৭৯৬।",reference_recovered_from_pdftext,71,ok,,"رَبَّنَا وَلَكَ الْحَمْدُ، حَمْدًا كَثِيرًا طَيِّبًا مُبَارَكًا فِيهِ (রব্বানা ওয়া লাকাল হামদু, হামদান কাছীরান ত্বাইয়িবান মুবা-রাকান ফীহি) “হে আমাদের রব্ব! আর আপনার জন্যই সমস্ত"
30,১৮. রুকু থেকে উঠার দো'আ,72,73,৪০-(৩),مِلْءَ السَّمَوَاتِ وَمِلْءَ الْأَرْضِ وَمَا بَيْنَهُمَا، وَمِلْءَ مَا شِئْتَ مِنْ شَيْءٍ بَعْدُ، أَهْلَ الثَّنَاءِ وَالْمَجْدِ، أَحَقُّ مَا قَالَ الْعَبْدُ، وَكُلُّنَا لَكَ عَبْدٌ، اَللَّهُمَّ لَا مَانِعَ لِمَا أَعْطَيْتَ، وَلَا مُعْطِيَ لِمَا مَنَعْتَ، وَلَا يَنْفَعُ ذَا الْجَدِّ مِنْكَ الْجَدُّ,"মিল'আস সামা-ওয়া-তি ওয়া মিল'আল আরদি ওয়ামা বাইনাহমা, ওয়া মিল'আ মা শিন্তা মিন শাইয়িন বা'দু, আহলাস সানা-য়ি ওয়াল মাজদি, আহাক্কু মা কালাল 'আবদু, ওয়া কুল্লুনা লাকা 'আবদুন, লা মানি'আ লিমা আ'তাইতা, ওয়ালা মু'তিয়া লিমা মানা'তা, ওয়ালা ইয়ানফাউ যাল-জাদ্দি মিনকাল জাদ্দু","“(আপনার প্রশংসা করছি) আসমানসমূহ পূর্ণ করে, যমীন পূর্ণ করে ও যা এ দু'টির মাঝে রয়েছে (তাও পূর্ণ করে), আর এর পরে যা পূর্ণ করা আপনার ইচ্ছা তা পূর্ণ করে। হে প্রশংসা ও সম্মান-মর্যাদার যোগ্য সত্তা! বান্দা সবচেয়ে যে সঠিক কথাটি বলেছে তা হচ্ছে (আর আমরা সবাই আপনার বান্দা) হে আল্লাহ, আপনি যা প্রদান করেছেন তা বন্ধ করার কেউ নেই, আর আপনি যা রুদ্ধ করেছেন তা প্রদান করার কেউ নেই। আর কোনো ক্ষমতা-প্রতিপত্তির অধিকারীর ক্ষমতা ও প্রতিপত্তি আপনার কাছে কোনো কাজে লাগবে না।”","মুসযিম, ১/৩৪৬; নং ৪৭৭।","reference_recovered_from_pdftext,continued_from_previous_or_next_page","72,73",ok,,مِلْءَ السَّمَوَاتِ وَمِلْءَ الْأَرْضِ وَمَا بَيْنَهُمَا، وَمِلْءَ مَا شِئْتَ مِنْ شَيْءٍ بَعْدُ، أَهْلَ الثَّنَاءِ وَالْمَجْدِ، أَحَقُّ مَا قَالَ الْعَبْدُ، وَكُلُّنَا لَكَ عَبْدٌ، اَللَّهُمَّ لَا مَانِعَ لِمَا أَعْطَيْتَ، وَلَا مُعْطِيَ لِمَا مَنَعْتَ، وَلَا يَنْفَعُ ذَا الْجَدِّ مِنْكَ الْجَدُّ
31,১৯. সাজদার দো'আ,73,73,৪১-(১),سُبْحَانَ رَبِّيَ الأَعْلَى,সুবহা-না রাব্বিয়াল আ'লা,"“আমার রব্বের পবিত্রতা ও মহিমা বর্ণনা করছি, যিনি সবার উপরে।” (তিনবার)","হাদীসযে সু নানগ্রেকারর্ণ ও ইমাম আহমাদ সংকিন কমরমছন। আবূ দাউদ, হাদীস নং ৮৭০; যতরযমিী, হাদীস নং ২৬২; নাসাঈ, হাদীস নং ১০০৭; ইবন মাোহ, হাদীস নং ৮৯৭; আহমাদ, হাদীস নং ৩৫১৪। আরও দদখুন, সহীহুত যতরযমিী, ১/৮৩।",reference_recovered_from_pdftext,73,ok,,"سُبْحَانَ رَبِّيَ الأَعْلَى (সুবহা-না রাব্বিয়াল আ'লা)। “আমার রব্বের পবিত্রতা ও মহিমা বর্ণনা করছি, যিনি সবার উপরে।” (তিনবার)৬৫"
32,১৯. সাজদার দো'আ,73,74,৪২-(২),سُبْحَانَكَ اللَّهُمَّ رَبَّنَا وَبِحَمْدِكَ، اللَّهُمَّ اغْفِرْ لِي,"সুবহা-নাকাল্লা-হুম্মা রব্বানা ওয়া বিহামাদিকা, আল্লা- হুম্মাগফির লী",“হে আল্লাহ! আমাদের রব্ব! আপনার প্রশংসাসহ আপনার পবিত্রতা ও মহিমা ঘোষণা করছি। হে আল্লাহ! আপনি আমাকে মাফ করে দিন।”,"বু খারী, নং ৭৯৪; মুসযিম, নং ৪৮৪; পূ মবগ ৩৪ নং তা র্ত হময়মছ।","reference_recovered_from_pdftext,continued_from_previous_or_next_page","73,74",ok,,"سُبْحَانَكَ اللَّهُمَّ رَبَّنَا وَبِحَمْدِكَ، اللَّهُمَّ اغْفِرْ لِي (সুবহা-নাকাল্লা-হুম্মা রব্বানা ওয়া বিহামাদিকা, আল্লা- হুম্মাগফির লী)। “হে আল্লাহ! আমাদের রব্ব! আপনার প্রশংসাসহ"
33,১৯. সাজদার দো'আ,74,75,৪৩-(৩),سُبُّوحٌ قُدُّوسٌ رَبُّ الْمَلَائِكَةِ وَالرُّوحِ,সুব্বূহুন কুদ্দূসুন রব্বুল মালা-ইকাতি ওয়াররূহ,"“(তিনি/আপনি) সম্পূর্ণরূপে দোষ-ত্রুটিমুক্ত, অত্যন্ত পবিত্র ও মহিমান্বিত; ফিরিশতাগণ ও রূহ-এর রব্ব।” (আল্লা-হুম্মা লাকা সাজাদতু, ওয়াবিকা আ-মানতু ওয়া লাকা আসলামতু। সাজাদা ওয়াজহিয়া লিল্লাযী খালাকাহু ওয়া সাওয়্যারাহ ওয়া শাক্কা সাম'আহূ ওয়া বাসারাহূ, তাবারাকাল্লাহু আহসানুল খালিকীন)।","মুসযিম ১/৩৫৩, নং ৪৮৭; আবূ দাউদ, নং ৮৭২। পূ মবগ ৩৫ নং এ র্ত হময়মছ।","reference_recovered_from_pdftext,continued_from_previous_or_next_page","74,75",ok,,"سُبُّوحٌ قُدُّوسٌ رَبُّ الْمَلَائِكَةِ وَالرُّوحِ (সুব্বূহুন কুদ্দূসুন রব্বুল মালা-ইকাতি ওয়াররূহ)। “(তিনি/আপনি) সম্পূর্ণরূপে দোষ-ত্রুটিমুক্ত, অত্যন্ত পবিত্র ও মহিমান্বিত; ফিরিশতাগণ ও রূহ-এর"
34,১৯. সাজদার দো'আ,75,75,৪৪-(৮),,,"“হে আল্লাহ! আমি আপনার জন্যই সাজদাহ করেছি, আপনার উপরই ঈমান এনেছি, আপনার কাছেই নিজেকে সঁপে দিয়েছি। আমার মুখমণ্ডল সাজদায় অবনত সেই মহান সত্তার জন্য, যিনি একে সৃষ্টি করেছেন এবং আকৃতি দিয়েছেন, আর তার কান ও চোখ বিদীর্ণ করেছেন। সর্বোত্তম স্রষ্টা আল্লাহ অত্যন্ত বরকতময়।”","কমরমছন। সমবগািম স্রিা আল্লাহ অতযন্ত বরকতময়।” ْ ) «ُسان ي1(-41 َ ْ ْ َ ُ َ ْ ََُ َ َ َ ُْ ،يبٰٓي يء وال َملك ي،وت والك ي،وت ذي اْلب ي َ ْ .»َوال َعظ َم ية (সু বহা-নাযিি োবারূযত, ওয়াি মািাকুযত, ওয়াি যকবযরয়া-ই ওয়াি ‘আিামাযত)। মুসযিম ১/৫৩৪, নং ৭৭১ ও অনযানযর্ণ।",reference_recovered_from_pdftext,75,ok,,"“হে আল্লাহ! আমি আপনার জন্যই সাজদাহ করেছি, আপনার উপরই ঈমান এনেছি, আপনার কাছেই নিজেকে সঁপে দিয়েছি। আমার মুখমণ্ডল সাজদায় অবনত সেই মহান সত্তার জন্য, যিনি একে সৃষ্টি করেছেন এবং"
35,১৯. সাজদার দো'আ,75,76,45-(5),سُبْحَانَ ذِي الْجَبَرُوتِ، وَالْمَلَكُوتِ، وَالْكِبْرِيَاءِ وَالْعَظَمَةِ.,"সুবহা-নাল্লাযী জাবারূতি, ওয়াল মালাকূতি, ওয়াল কিবরিয়া-ই ওয়াল আযামাতি","“পবিত্রতা ও মহিমা ঘোষণা করছি সেই সত্তার, যিনি প্রবল প্রতাপ, বিশাল সাম্রাজ্য, বিরাট গৌরব-গরিমা এবং অতুলনীয় মহত্ত্বের অধিকারী।”","আবু দাঊদ ১/২৩০, নং ৮৭৩; নাসাঈ, নং ১১৩১; আহমাদ, নং ২৩৯৮০। আর িাইখ আিবানী এমক সহীহ আবু দাউমদ ১/১৬৬ সহীহ বমিমছন। িার তাখরীে ৩৭ নং এ চমি দর্মছ।","reference_recovered_from_pdftext,continued_from_previous_or_next_page","75,76",ok,,"سُبْحَانَ ذِي الْجَبَرُوتِ، وَالْمَلَكُوتِ، وَالْكِبْرِيَاءِ وَالْعَظَمَةِ. (সুবহা-নাল্লাযী জাবারূতি, ওয়াল মালাকূতি, ওয়াল কিবরিয়া-ই ওয়াল আযামাতি)।"
36,১৯. সাজদার দো'আ,76,76,46-(6),اَللّٰهُمَّ اغْفِرْلِي ذَنْبِي كُلَّهُ، دِقَّهُ وَجِلَّهُ، وَأَوَّلَهُ وَآخِرَهُ، وَعَلَانِيَتَهُ وَسِرَّهُ.,"আল্লা-হুম্মাগফির লী যানবী কুল্লাহূ; দিক্কাহূ ওয়া জিল্লাহূ, ওয়া আউওয়ালাহূ ওয়া আখিরাহূ, ওয়া ‘আলা-নিয়াতাহূ ওয়া সিররাহূ","“হে আল্লাহ! আমার সমস্ত গুনাহ মাফ করে দিন- তার ক্ষুদ্র অংশ, তার বড় অংশ, আগের গুনাহ, পরের গুনাহ, প্রকাশ্য ও গোপন গুনাহ।”","মুসযিম ১/২৩০, নং ৪৮৩।",reference_recovered_from_pdftext,76,ok,,"اَللّٰهُمَّ اغْفِرْلِي ذَنْبِي كُلَّهُ، دِقَّهُ وَجِلَّهُ، وَأَوَّلَهُ وَآخِرَهُ، وَعَلَانِيَتَهُ وَسِرَّهُ. (আল্লা-হুম্মাগফির লী যানবী কুল্লাহূ; দিক্কাহূ ওয়া জিল্লাহূ, ওয়া আউওয়ালাহূ ওয়া আখিরাহূ, ওয়া ‘আলা-নিয়াতাহূ ওয়া"
37,১৯. সাজদার দো'আ,77,77,47-(7),اَللّٰهُمَّ إِنِّي أَعُوذُ بِرِضَاكَ مِنْ سَخَطِكَ، وَبِمُعَافَاتِكَ مِنْ عُقُوبَتِكَ، وَأَعُوذُ بِكَ مِنْكَ، لَا أُحْصِي ثَنَاءً عَلَيْكَ، أَنْتَ كَمَا أَثْنَيْتَ عَلَى نَفْسِكَ.,"আল্লা-হুম্মা ইন্নী আউযুবিরিদ্বা-কা মিন সাখাতিকা, ওয়া বিমু'আ-ফা-তিকা মিন ‘উকূবাতিক, ওয়া আউযু বিকা মিনকা, লা উহসী সানা-আন ‘আলাইকা, আনতা কামা আসনাইতা ‘আলা নাফসিকা","“হে আল্লাহ! আমি আপনার সন্তুষ্টির মাধ্যমে অসন্তুষ্টি থেকে, আর আপনার নিরাপত্তার মাধ্যমে আপনার শাস্তি থেকে আশ্রয় চাই। আর আমি আপনার নিকটে আপনার (পাকড়াও) থেকে আশ্রয় চাই। আমি আপনার প্রশংসা গুনতে সক্ষম নই, আপনি সেরূপই, যেরূপ প্রশংসা আপনি নিজের জন্য করেছেন।”","মুসযিম ১/৩৫২, নং ৪৮৬।",reference_recovered_from_pdftext,77,ok,,"اَللّٰهُمَّ إِنِّي أَعُوذُ بِرِضَاكَ مِنْ سَخَطِكَ، وَبِمُعَافَاتِكَ مِنْ عُقُوبَتِكَ، وَأَعُوذُ بِكَ مِنْكَ، لَا أُحْصِي ثَنَاءً عَلَيْكَ، أَنْتَ كَمَا أَثْنَيْتَ عَلَى نَفْسِكَ. (আল্লা-হুম্মা ইন্নী আউযুবিরিদ্বা-কা মিন সাখাতিকা, ওয়া"
38,২০. দুই সাজদার মধ্যবর্তী বৈঠকের দো'আ,78,78,48-(1),رَبِّ اغْفِرْ لِي، رَبِّ اغْفِرْ لِي.,"রাব্বিগফির লী, রাব্বিগফির লী",“হে আমার রব! আপনি আমাকে ক্ষমা করুন। হে আমার রব! আপনি আমাকে ক্ষমা করুন।”,"আবূ দাউদ ১/২৩১, নং ৮৭৪; ইবন মাোহ নং ৮৯৭। আরও দদখুন, সহীহ ইবন মাোহ, ১/১৪৮।",reference_recovered_from_pdftext,78,ok,,"رَبِّ اغْفِرْ لِي، رَبِّ اغْفِرْ لِي. (রাব্বিগফির লী, রাব্বিগফির লী) “হে আমার রব! আপনি আমাকে ক্ষমা করুন। হে আমার রব! আপনি আমাকে ক্ষমা করুন।”৭২"
39,২০. দুই সাজদার মধ্যবর্তী বৈঠকের দো'আ,78,79,49-(2),اَللّٰهُمَّ اغْفِرْ لِي، وَارْحَمْنِي، وَاهْدِنِي، وَاجْبُرْنِي، وَعَافِنِي، وَارْزُقْنِي، وَارْفَعْنِي.,"আল্লা-হুম্মাগফির লী, ওয়ারহামনী, ওয়াহদিনী, ওয়াজবুরনী, ওয়া‘আফিনী, ওয়ারযুকনী, ওয়ারফা‘নী","“হে আল্লাহ! আপনি আমাকে ক্ষমা করুন, আমার","হাদীসযে নাসাঈ বযতীত সু নান গ্রের্ারর্ণ সবাই সংকিন কমরমছন। আবূ দাউদ, ১/২৩১, নং ৮৫০; যতরযমিী, নং ২৮৪, ২৮৫; ইবন মাোহ, নং ৮৯৮। আরও দদখুন, সহীহুত যতরযমিী, ১/৯০; সহীহ ইবন মাোহ ১/১৪৮।","reference_recovered_from_pdftext,continued_from_previous_or_next_page","78,79",ok,,"اَللّٰهُمَّ اغْفِرْ لِي، وَارْحَمْنِي، وَاهْدِنِي، وَاجْبُرْنِي، وَعَافِنِي، وَارْزُقْنِي، وَارْفَعْنِي. (আল্লা-হুম্মাগফির লী, ওয়ারহামনী, ওয়াহদিনী, ওয়াজবুরনী, ওয়া‘আফিনী, ওয়ারযুকনী, ওয়ারফা‘নী)"
40,২১. সাজদার আয়াত তিলাওয়াতের পর সাজদায় দো'আ,79,80,50-(1),سَجَدَ وَجْهِيَ لِلَّذِي خَلَقَهُ، وَشَقَّ سَمْعَهُ وَبَصَرَهُ بِحَوْلِهِ وَقُوَّتِهِ، فَتَبَارَكَ اللَّهُ أَحْسَنُ الْخَالِقِينَ.,"সাজাদা ওয়াজহিয়া লিল্লাযী খালাকাহু, ওয়া শাক্কা সাম‘আহূ ওয়া বাসারাহূ, বিহাওলিহী ওয়া কুওয়াতিহী, ফাতাবারাকাল্লা-হু আহসানুল খা-লিকীন","“আমার মুখমণ্ডল সাজদাহ করেছে সে সত্তার জন্য, যিনি একে সৃষ্টি করেছেন, আর নিজ শক্তি ও","যতরযমিী, ২/৪৭৪, নং ৩৪২৫; আহমাদ ৬/৩০; নং ২৪০২২; হাযকম ও সহীহ বমিমছন এবং িাহাবী দসো সমেগন কমরমছন, ১/২২০; আর বাড়যত অংিেুকু তাাঁরই। আয়াতেুকু সূ রা আি- মুযমনূ ন এর ১৪ নং আয়াত।","reference_recovered_from_pdftext,continued_from_previous_or_next_page","79,80",ok,,"سَجَدَ وَجْهِيَ لِلَّذِي خَلَقَهُ، وَشَقَّ سَمْعَهُ وَبَصَرَهُ بِحَوْلِهِ وَقُوَّتِهِ، فَتَبَارَكَ اللَّهُ أَحْسَنُ الْخَالِقِينَ. (সাজাদা ওয়াজহিয়া লিল্লাযী খালাকাহু, ওয়া শাক্কা সাম‘আহূ ওয়া বাসারাহূ, বিহাওলিহী ওয়া কুওয়াতিহী,"
41,২১. সাজদার আয়াত তিলাওয়াতের পর সাজদায় দো'আ,80,81,51-(2),اَللّٰهُمَّ اكْتُبْ لِي بِهَا عِنْدَكَ أَجْرًا، وَضَعْ عَنِّي بِهَا وِزْرًا، وَاجْعَلْهَا لِي عِنْدَكَ ذُخْرًا، وَتَقَبَّلْهَا مِنِّي كَمَا تَقَبَّلْتَهَا مِنْ عَبْدِكَ دَاوُدَ.,"আল্লা-হুম্মাকতুব লী বিহা ‘ইনদাকা আজরান, ওয়াদা‘ ‘আন্নী বিহা উইযরান, ওয়াজ‘আলহা লী ‘ইনদাকা যুখরান, ওয়া তাকাব্বালহা মিননী কামা তাকাব্বালতাহা মিন ‘আবদিকা দাউদ","“হে আল্লাহ! এই সিজদার বদৌলতে আপনার নিকট আমার জন্য প্রতিদান লিখে রাখুন, এর দ্বারা","যতরযমিী ২/৪৭৩, নং ৫৭৯; হামকম ও সহীহ বমিমছন, আর ইমাম িাহাবী সমেগন কমরমছন, ১/২১৯।","reference_recovered_from_pdftext,continued_from_previous_or_next_page","80,81",ok,,"اَللّٰهُمَّ اكْتُبْ لِي بِهَا عِنْدَكَ أَجْرًا، وَضَعْ عَنِّي بِهَا وِزْرًا، وَاجْعَلْهَا لِي عِنْدَكَ ذُخْرًا، وَتَقَبَّلْهَا مِنِّي كَمَا تَقَبَّلْتَهَا مِنْ عَبْدِكَ دَاوُدَ. (আল্লা-হুম্মাকতুব লী বিহা ‘ইনদাকা আজরান, ওয়াদা‘"
42,২৩. তাশাহ্হুদের পর নবী সাল্লাল্লাহু আলাইহি,82,84,53-(1),اَللّٰهُمَّ صَلِّ عَلَى مُحَمَّدٍ، وَعَلَى آلِ مُحَمَّدٍ، كَمَا صَلَّيْتَ عَلَى إِبْرَاهِيمَ، وَعَلَى آلِ إِبْرَاهِيمَ، إِنَّكَ حَمِيدٌ مَجِيدٌ، اَللّٰهُمَّ بَارِكْ عَلَى مُحَمَّدٍ، وَعَلَى آلِ مُحَمَّدٍ، كَمَا بَارَكْتَ عَلَى إِبْرَاهِيمَ وَعَلَى آلِ إِبْرَاهِيمَ، إِنَّكَ حَمِيدٌ مَجِيدٌ.,আল্লা-হুম্মা সাল্লি ‘আলা মুহাম্মাদিওঁওয়া ‘আলা আ-লি মুহাম্মাদিন কামা সাল্লাইতা ‘আলা ইব্রাহীমা ওয়া ‘আলা আ-লি ইব্রাহীমা ইন্নাকা হামীদুম মাজীদ। আল্লা-হুম্মা বারিক ‘আলা মুহাম্মাদিওঁওয়া ‘আলা আ-লি মুহাম্মাদিন কামা বা-রাকতা ‘আলা ইব্রাহীমা ওয়া ‘আলা আ-লি,"“হে আল্লাহ! আপনি (আপনার নিকটস্থ উচ্চসভায়) মুহাম্মাদকে সম্মানের সাথে স্মরণ করুন এবং তাঁর পরিবার-পরিজনকেও, যেমন আপনি সম্মানের সাথে স্মরণ করেছেন ইবরাহীমকে ও তার পরিবার-পরিজনকেও। নিশ্চয় আপনি অত্যন্ত প্রশংসিত ও মহামহিমান্বিত। হে আল্লাহ! আপনি মুহাম্মাদ ও তাঁর পরিবার পরিজনের ওপর বরকত নাযিল করুন যেমন আপনি বরকত নাযিল করেছিলেন ইবরাহীমের পরিবার-পরিজনের ওপর। নিশ্চয় আপনি অত্যন্ত প্রশংসিত ও মহামহিমান্বিত”।","বু খারী, (ফাতহুি বারীসহ) ৬/৪০৮, নং ৩৩৭০; মুসযিম, নং ৪০৬।","reference_recovered_from_pdftext,continued_from_previous_or_next_page","82,83,84",ok,,"اَللّٰهُمَّ صَلِّ عَلَى مُحَمَّدٍ، وَعَلَى آلِ مُحَمَّدٍ، كَمَا صَلَّيْتَ ৭৬ বুখারী, (ফাতহুল বারীসহ) ১১/১৩, নং ৮৩১; মুসলিম ১/৩০১, নং ৪০২। عَلَى إِبْرَاهِيمَ، وَعَلَى آلِ إِبْرَاهِيمَ، إِنَّكَ حَمِيدٌ مَجِيدٌ، اَللّٰهُمَّ"
43,২৩. তাশাহ্হুদের পর নবী সাল্লাল্লাহু আলাইহি,84,85,54-(2),اَللّٰهُمَّ صَلِّ عَلَى مُحَمَّدٍ وَعَلَى أَزْوَاجِهِ وَذُرِّيَّتِهِ كَمَا صَلَّيْتَ عَلَى آلِ إِبْرَاهِيمَ، وَبَارِكْ عَلَى مُحَمَّدٍ وَعَلَى أَزْوَاجِهِ وَذُرِّيَّتِهِ كَمَا بَارَكْتَ عَلَى آلِ إِبْرَاهِيمَ، إِنَّكَ حَمِيدٌ مَجِيدٌ.,"আল্লা-হুম্মা সাল্লি ‘আলা মুহাম্মাদিওঁওয়া ‘আলা আজওয়াজিহি ওয়া যুররিয়্যাতিহি কামা সাল্লাইতা ‘আলা আ-লি ইব্রাহীমা, ওয়া বারিক ‘আলা মুহাম্মাদিওঁওয়া ‘আলা আজওয়াজিহি ওয়া যুররিয়্যাতিহি কামা বা-রাকতা ‘আলা আ-লি ইব্রাহীমা ইন্নাকা হামীদুম মাজীদ","“হে আল্লাহ! আপনি (আপনার নিকটস্থ উচ্চসভায়) মুহাম্মাদকে সম্মানের সাথে স্মরণ করুন এবং তাঁর স্ত্রীগণ ও তাঁর বংশধরকেও, যেমন আপনি সম্মানের সাথে স্মরণ","বু খারী, (ফাতহুি বারীসহ) ৬/৪০৭, নং ৩৩৬৯; মুসযিম ১/৩০৬, নং ৪০৭। আর িব্দযে মুসযিমমর।","reference_recovered_from_pdftext,continued_from_previous_or_next_page","84,85",ok,,اَللّٰهُمَّ صَلِّ عَلَى مُحَمَّدٍ وَعَلَى أَزْوَاجِهِ وَذُرِّيَّتِهِ كَمَا صَلَّيْتَ عَلَى آلِ إِبْرَاهِيمَ، وَبَارِكْ عَلَى مُحَمَّدٍ وَعَلَى أَزْوَاجِهِ وَذُرِّيَّتِهِ كَمَا بَارَكْتَ عَلَى آلِ إِبْرَاهِيمَ، إِنَّكَ حَمِيدٌ مَجِيدٌ.
44,২৪. সালামের আগে শেষ তাশাহহুদের পরের দো'আ,85,86,55-(1),اَللّٰهُمَّ إِنِّي أَعُوذُ بِكَ مِنْ عَذَابِ الْقَبْرِ، وَمِنْ عَذَابِ جَهَنَّمَ، وَمِنْ فِتْنَةِ الْمَحْيَا وَالْمَمَاتِ، وَمِنْ شَرِّ فِتْنَةِ الْمَسِيحِ الدَّجَّالِ.,"আল্লা-হুম্মা ইন্নী আ‘উযু বিকা মিন ‘আযা-বিল কাবরি, ওয়া মিন ‘আযা-বি জাহান্নামা, ওয়া মিন ফিতনাতিল মাহইয়া ওয়াল মামা-তি, ওয়া মিন শাররি ফিতনাতিল মাসীহিদ দাজ্জা-ল","“হে আল্লাহ! আমি আপনার কাছে আশ্রয় চাচ্ছি কবরের আযাব থেকে, জাহান্নামের আযাব থেকে, জীবন- মৃত্যুর ফিতনা থেকে এবং মাসীহ দাজ্জালের ফিতনার অনিষ্টতা থেকে”।","বু খারী ২/১০২, নং ১৩৭৭; মুসযিম ১/৪১২, নং ৫৮৮। আর িব্দ মুসযিমমর।","reference_recovered_from_pdftext,continued_from_previous_or_next_page","85,86",ok,,"اَللّٰهُمَّ إِنِّي أَعُوذُ بِكَ مِنْ عَذَابِ الْقَبْرِ، وَمِنْ عَذَابِ جَهَنَّمَ، وَمِنْ فِتْنَةِ الْمَحْيَا وَالْمَمَاتِ، وَمِنْ شَرِّ فِتْنَةِ الْمَسِيحِ الدَّجَّالِ. (আল্লা-হুম্মা ইন্নী আ‘উযু বিকা মিন ‘আযা-বিল কাবরি, ওয়া মিন"
